Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/4TB/DevCell19/20170607 hisRFP, nosMCPGFP,m5m8peveMS2LacZ/	20170607 hisRFP, nosMCPGFP,m5m8peveMS2LacZ 1.lif	_3D/	649	19	12	10	0.48	1	0	m5m8peve	1	0.75	0,1	1	115	650	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170609 hisRFP, nosMCPGFP,m5m8hsp70MS2LacZ/	20170609 hisRFP, nosMCPGFP,m5m8hsp70MS2LacZ.lif	_3D/	832	19	12	10	0.48	1	0	m5m8hsp70	1	0.75	1,0	1	160	833	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170612 hisRFP, nosMCPGFP,m5m8hsp70MS2LacZ/	20170612 hisRFP, nosMCPGFP,m5m8hsp70MS2LacZ.lif	_3D/	511	19	12	10	0.48	1	0	m5m8hsp70	2	0.75	0,0	1	85	512	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170612 hisRFP, nosMCPGFP,m5m8peveMS2LacZ/	20170612 hisRFP, nosMCPGFP,m5m8peveMS2LacZ.lif	_3D/	644	19	12	10	0.48	1	0	m5m8peve	2	0.75	0,1	1	70	645	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170628 hisRFP, nosMCPGFP, simMSEpeveMS2lacZ/	20170628 hisRFP, nosMCPGFP, simMSEpeveMS2lacZ.lif	_3D/	746	19	12	10	0.48	1	0	simMSEpeve	1	0.75	0,1	1	130	747	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170629 hisRFP, nosMCPGFP, m5m8hsp70MS2lacZ/	20170629 hisRFP, nosMCPGFP, m5m8hsp70MS2lacZ.lif	_3D/	596	19	12	10	0.48	1	0	m5m8hsp70	3	0.75	1,0	1	60	597	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/4TB/DevCell19/20170629 hisRFP, nosMCPGFP, simMSEpeveMS2lacZ/	20170629 hisRFP, nosMCPGFP, simMSEpeveMS2lacZ.lif	_3D/	346	19	12	10	0.48	1	150	simMSEpeve	2	0.75	1,0	1	1	347	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170704 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, DfDlx2/	20170704 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, DfDlx2.lif	_3D/	551	19	12	10	0.48	1	0	m5m8peve Dl	1	0.75	1,1	1	230	552	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170711 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ/	20170711 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ.lif	_3D/	557	19	12	10	0.48	1	0	simMSEpsimE	1	0.75	0,0	1	150	558	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170712 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, DfDlx2/	20170712 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, DfDlx2.lif	_3D/	428	19	12	10	0.48	1	0	m5m8peve Dl	2	0.75	0,1	1	80	429	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170718 hisRFP, nosMCPGFP, m5m8pm8MS2lacZ/	20170718 hisRFP, nosMCPGFP, m5m8pm8MS2lacZ.lif	_3D/	620	19	12	10	0.48	1	0	m5m8pm8	1	0.75	0,0	1	170	621	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170720 hisRFP, nosMCPGFP, m5m8pm8MS2lacZ/	20170720 hisRFP, nosMCPGFP, m5m8pm8MS2lacZ.lif	_3D/	755	19	12	10	0.48	1	0	m5m8pm8	2	0.75	0,1	1	80	756	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170728 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ/	20170728 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ 1.lif	_3D/	675	19	12	10	0.48	1	0	simMSEpsimE	2	0.75	0,0	1	100	676	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170728 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ/	20170728 hisRFP, nosMCPGFP, simMSEpsimEMS2lacZ 2.lif	_3D/	686	19	12	10	0.48	1	0	simMSEpsimE	3	0.75	1,1	1	270	687	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170801 hisRFP, nosMCPGFP, simMSEpsimEMS2LacZ/	20170801 hisRFP, nosMCPGFP, simMSEpsimEMS2LacZ.lif	_3D/	514	19	12	10	0.48	1	0	simMSEpsimE	4	0.75	0,0	1	120	515	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170802 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ/	20170802 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ.lif	_3D/	772	19	12	10	0.48	1	0	m5m8pm5	1	0.75	0,1	1	260	773	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170925 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ/	20170925 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ.lif	_3D/	788	19	12	10	0.48	1	0	m5m8pm6	1	0.75	1,1	1	240	789	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170927 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ/	20170927 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ.lif	_3D/	601	19	12	10	0.48	1	0	m5m8psimE	1	0.75	0,1	1	5	602	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20170929 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20170929 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	562	19	12	10	0.48	1	0	m5m8pm7	1	0.75	0,1	1	40	563	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171002 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20171002 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	733	19	12	10	0.48	1	0	m5m8pm7	2	0.75	1,0	1	250	734	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171002 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ/	20171002 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ.lif	_3D/	514	19	8	10	0.48	1	0	m5m8psimE	2	0.75	1,0	1	30	515	15	8b Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171003 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20171003 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	546	19	12	10	0.48	1	0	m5m8pm7	3	0.75	0,1	1	50	547	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ/	20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ 1.lif	_3D/	549	19	12	10	0.48	1	0	m5m8pm5	2	0.75	0,1	1	40	550	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ/	20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ 2.lif	_3D/	518	19	12	10	0.48	1	20	m5m8pm5	3	0.75	0,0	1	1	519	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
