Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/JFS/MS2/20180221 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180221 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam.lif	_3D/	196	33	12	20	0.36	2	20	m5m8peveIII slam	1	2	1,0	1	1	197	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180221 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180221 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, CTG.lif	_3D/	184	35	12	20	0.36	2	15	m5m8peveIII slam:CTG:CTG	1	2	1,1	1	1	185	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700_CTG
/Volumes/JFS/MS2/20180228 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180228 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam:CTG.lif	_3D/	284	29	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	1	2	0,1	1	55	285	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180312 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam 1.lif	_3D/	231	36	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	3	2	1,0	1	60	232	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700_CTG
/Volumes/JFS/MS2/20180312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180312 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam 3.lif	_3D/	298	34	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	2	2	0,0	1	70	299	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180313 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180313 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam.lif	_3D/	279	35	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	3	2	1,0	1	100	280	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180314 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180314 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam.lif	_3D/	331	33	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	4	2	0,0	1	130	332	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180319 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180319 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam:CTG.lif	_3D/	294	34	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	5	2	0,0	1	85	295	15	Pinh_4_Speed_400_488_0.2_G_2_R_2_GG_694.7_RG_700
/Volumes/JFS/MS2/20180330 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180330 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam:CTG.lif	_3D/	335	33	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	7	2	0,0	1	90	336	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180401 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180401 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam.lif	_3D/	179	33	12	20	0.36	2	6	m5m8peveIII slam	2	2	0,0	1	1	180	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180404 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180404 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam.lif	_3D/	210	33	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	4	2	0,0	1	25	211	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700_CTG
/Volumes/JFS/MS2/20180405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam.lif	_3D/	218	33	12	20	0.36	2	0	m5m8peveIII slam	3	2	0,0	1	30	219	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
